sku,category_id
10282157,87247
10282165,87247
11528036,92372
11545348,84120
11636351,88465
11636351,92261
10288864,86947
10297219,88549
10379509,88282
1045318,107999
10707212,86722
10725687,118863
10830871,92405
10900403,87178
1091476,92405
1097202,88159
10979158,86374
11027002,88276
11176962,92846
11332131,87229
11333812,87931
11343796,88465
11435410,89026
11435410,87556
11441798,88528
11685786,92405
11701064,87496
11716096,87520
11716436,87553
12526932,92303
12579246,98441
12580295,88585
12634220,86980
11885386,92261
12125156,88537
12192155,103187
1233963,86374
12350273,111120
12350338,111081
13190164,86377
13666258,88276
13710796,87367
13734199,107690
13734342,107987
13386875,111117
13399373,87964
13488589,88108
13619861,111093
13619926,111093
13619942,111045
12918342,88186
12951447,87553
12951455,89023
13052063,88486
13052063,92282
1308408,84804
13184067,111069
14047322,93459
14047322,91150
14696525,118527
14821656,91956
14932253,92525
14932865,92297
14192004,88048
14230380,92276
14292920,87553
14512211,87058
14515709,118863
1455389,86947
150159252,91198
150184551,92582
150207540,91228
150338619,118082
15039609,87514
15054322,88465
15054322,92261
14951975,92954
150033088,88636
15262367,91935
152870,89023
15581969,87097
1566040,91084
15745724,92405
15459551,87892
15462927,105757
1547380,92405
15508919,88189
15508919,87193
1552821,74813
15548910,107810
15551121,118533
1593870,107582
15968677,88510
160260592,114027
160264075,118088
160264075,117983
16260678,87493
16334191,92261
160265235,114036
16084403,91084
162605862,114030
162606037,87484
15779068,88276
15888800,92519
1591983,91953
16356039,92360
16488717,92456
16488717,91587
164935842,88573
164060603,118088
164060661,117983
164060701,118088
164060701,117983
16475739,92456
16475755,92456
16475828,91587
16475976,91587
16475984,91587
16476662,92456
16476662,91587
16476670,92456
16476670,91587
166578351,118082
166579592,88042
166579592,87058
16732421,98354
16740874,88189
167607564,91297
16840747,88189
16763718,92261
167653554,87058
167858208,114012
167862139,114027
167934602,93453
168177459,88633
168177459,91228
165874641,118082
166208047,91234
16626346,88273
16642651,92300
16642678,88498
16642686,88498
166573978,88573
169170200,88219
169457772,88219
169457789,77246
169457806,77246
169457858,77246
169457887,77246
169537038,118061
169170217,88219
169170223,88219
169170246,88219
169224380,88219
169234926,118088
169234926,117983
169250313,88042
169272212,87058
169565632,88222
169565649,87232
169565661,88219
169565678,88219
169565989,88222
169566389,77246
169566435,77246
169566017,87232
169566049,88219
169566049,77246
169566308,77246
169564316,88222
169571054,88219
169571054,77246
169743257,87496
169743911,87511
169748036,87511
169761555,77246
169761578,88219
169571181,88219
169571198,77246
169571238,88219
169571250,88219
169571296,88219
169571313,77246
169595947,88612
169901978,118061
16993365,88549
170026170,114030
170026170,114015
170026187,114030
17006554,88273
17013089,88138
170366607,88330
170366607,87586
170001458,118088
170001533,118088
170013369,114027
169761866,88222
170428921,118082
170446565,118061
170449435,117980
170577715,87586
170603898,87586
170603921,87568
170449458,117980
170449470,117968
170451028,118076
170451040,118076
170533237,91192
170569310,87586
171016595,88594
171016595,91165
171022075,93453
17110378,88549
171264074,88219
171264082,88222
171264316,88219
171264316,77246
171253783,117977
171259466,117986
170731210,91198
171002675,88042
171002675,87058
2497301,92744
25228153,89467
25229788,89476
23788593,88228
23797193,107648
26345838,92756
26367629,87934
3377466,91138
3394522,87553
25281240,92843
2387093,109463
23885718,93124
26405989,107831
26447061,91929
26447061,91060
26455315,98252
25294474,84120
23920408,109583
26520257,87493
3569691,88450
3651215,92954
25338560,92750
25339435,88492
25423231,98384
25423231,98336
24042528,83436
26555905,109463
26623668,92432
4338774,92303
25423894,87100
25424823,118527
25440616,109574
24044903,89482
24044954,92327
24044962,92522
2670283,87946
50003059,89554
50014530,88528
25443550,92276
25443569,92276
25449427,91953
27014118,107504
27014126,107729
3970019,88477
24165719,86374
24165786,88495
24188581,92966
27031403,87151
27074420,92849
4967577,88549
4967739,88495
49743,98360
49778,98360
25585347,88231
24207047,92465
24207047,91596
24216356,89482
24216992,87193
27278158,88540
27281663,92351
50019398,88546
500224,87217
25633899,87109
25633996,88123
25634038,88120
24234559,88873
27287327,111057
27292959,107582
27339734,88498
27339750,88498
4081374,88273
4081374,87484
25634054,87115
24235768,118515
24235830,118860
24236020,87247
2428148,88465
27339769,88498
27381978,88507
27381978,92309
27382311,87190
27382524,92270
27412725,92312
49808,98363
50000333,88231
24400653,86374
244473,92390
27412733,92312
27413179,92312
4792173,111081
4807693,88570
26053160,88231
24557609,109601
24618993,83397
24618993,84804
27676978,87205
27699455,88201
4134184,99476
4149475,88114
4262255,92405
26224828,87487
24672335,87556
27699455,87205
27699471,87205
27727874,89482
26248557,91231
2471485,92846
24735019,88549
24735019,92405
24777064,87529
27826449,88894
27826481,88888
27873285,114036
27885747,88894
49557,98363
23611502,88549
23684534,88582
24884928,91141
24896950,98273
24938467,92375
24952672,92765
24952672,89545
27890473,87652
27977226,91929
28039122,98432
25167049,111045
25167596,87202
21672237,111051
21672253,111051
21672393,111099
19611250,88201
19633815,88510
19661258,88549
17352029,87529
17372860,88153
20500718,91060
20500726,91929
20500777,91929
21773718,118578
21831807,117980
21888396,106386
19663900,92396
19694326,88972
