sku,store_view_code,price,special_price,special_price_from_date,special_price_to_date,regular_price_per_weight_unit,special_price_per_weight_unit,product_online
10693114,"thailand_gf_th",58,52,25-JAN-24,21-FEB-24,58,52,1
1012118,"thailand_gf_th",17,12,25-JAN-24,21-FEB-24,17,12,1
1012118,"thailand_hy_th",17,12,25-JAN-24,21-FEB-24,17,12,1
1012614,"thailand_gf_th",38,36,25-JAN-24,21-FEB-24,38,36,1
1012614,"thailand_hy_th",38,36,25-JAN-24,21-FEB-24,38,36,1
10169210,"thailand_gf_th",189,189,25-JAN-24,25-JAN-24,189,189,1
10169210,"thailand_hy_th",189,155,25-JAN-24,21-FEB-24,189,155,1
10171924,"thailand_gf_th",114,114,25-JAN-24,25-JAN-24,114,114,1
10171924,"thailand_hy_th",114,99,25-JAN-24,21-FEB-24,114,99,1
10174443,"thailand_gf_th",25,23,25-JAN-24,21-FEB-24,25,23,1
10174443,"thailand_hy_th",25,23,25-JAN-24,21-FEB-24,25,23,1
10228527,"thailand_gf_th",369,369,25-JAN-24,25-JAN-24,369,369,1
10228527,"thailand_hy_th",369,328,25-JAN-24,21-FEB-24,369,328,1
10235698,"thailand_gf_th",90,90,25-JAN-24,25-JAN-24,90,90,2
10235698,"thailand_hy_th",90,85,25-JAN-24,21-FEB-24,90,85,1
10252746,"thailand_gf_th",204,204,25-JAN-24,25-JAN-24,204,204,1
10693114,"thailand_hy_th",58,52,25-JAN-24,21-FEB-24,58,52,1
10698256,"thailand_gf_th",34,34,25-JAN-24,25-JAN-24,34,34,1
10698256,"thailand_hy_th",34,32,25-JAN-24,21-FEB-24,34,32,1
10707212,"thailand_gf_th",139,129,25-JAN-24,21-FEB-24,139,129,1
10707212,"thailand_hy_th",139,129,25-JAN-24,21-FEB-24,139,129,1
10713379,"thailand_gf_th",155,155,25-JAN-24,25-JAN-24,155,155,1
10713379,"thailand_hy_th",155,155,25-JAN-24,25-JAN-24,155,155,1
10725687,"thailand_gf_th",119,119,25-JAN-24,25-JAN-24,119,119,1
10725687,"thailand_hy_th",119,99,25-JAN-24,21-FEB-24,119,99,1
10725695,"thailand_gf_th",119,119,25-JAN-24,25-JAN-24,119,119,1
10725695,"thailand_hy_th",119,99,25-JAN-24,21-FEB-24,119,99,1
10743545,"thailand_gf_th",37,37,25-JAN-24,25-JAN-24,37,37,1
10743545,"thailand_hy_th",37,32,25-JAN-24,21-FEB-24,37,32,1
10743901,"thailand_gf_th",159,159,25-JAN-24,25-JAN-24,159,159,2
10743901,"thailand_hy_th",159,139,25-JAN-24,21-FEB-24,159,139,1
1080059,"thailand_gf_th",190,190,25-JAN-24,25-JAN-24,190,190,2
1080059,"thailand_hy_th",190,162,25-JAN-24,21-FEB-24,190,162,1
10807829,"thailand_gf_th",275,275,25-JAN-24,25-JAN-24,275,275,1
10807829,"thailand_hy_th",275,225,25-JAN-24,07-FEB-24,275,225,1
